goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,188.1930,auto,qwen2.5-coder:14b,64,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,170.4112,auto,qwen2.5-coder:14b,56,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,172.2539,auto,qwen2.5-coder:14b,65,0,0,False,True
filter (\<lambda>x. False) xs = [],True,172.3366,auto,qwen2.5-coder:14b,52,0,0,False,True
(n :: nat) * 0 = 0,True,172.4871,auto,qwen2.5-coder:14b,36,0,0,False,True
map id xs = xs,True,171.4776,auto,qwen2.5-coder:14b,32,0,0,False,True
take n xs @ drop n xs = xs,True,177.0064,auto,qwen2.5-coder:14b,44,0,0,False,True
[] @ xs = xs,True,173.8837,auto,qwen2.5-coder:14b,30,0,0,False,True
n + 0 = (n :: nat),True,178.4166,auto,qwen2.5-coder:14b,36,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,171.6396,auto,qwen2.5-coder:14b,63,0,0,False,True
xs @ [] = xs,True,174.5587,auto,qwen2.5-coder:14b,30,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,174.7088,auto,qwen2.5-coder:14b,75,0,0,False,True
length (map f xs) = length xs,True,172.6861,auto,qwen2.5-coder:14b,47,0,0,False,True
sum_list (map f []) = (0 :: nat),True,172.3953,auto,qwen2.5-coder:14b,50,0,0,False,True
rev (map f xs) = map f (rev xs),True,190.3186,auto,qwen2.5-coder:14b,60,0,0,False,True
length (take n xs) \<le> length xs,True,173.7311,auto,qwen2.5-coder:14b,52,0,0,False,True
0 + n = (n :: nat),True,172.5251,auto,qwen2.5-coder:14b,36,0,0,False,True
Suc n = n + (1 :: nat),True,172.3221,auto,qwen2.5-coder:14b,40,0,0,False,True
length (xs @ xs) = 2 * length xs,True,171.7249,auto,qwen2.5-coder:14b,50,0,0,False,True
filter (\<lambda>x. True) xs = xs,True,172.6657,auto,qwen2.5-coder:14b,51,0,0,False,True
