goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
True,False,293.7540,auto,qwen2.5-coder:14b,145,0,0,True,True
1 + 1 = (2::nat),True,98.7393,auto,qwen2.5-coder:14b,133,0,0,False,True
"length [1, 2, 3] = 3",False,268.1524,auto,qwen2.5-coder:14b,267,0,0,True,True
length (rev xs) = length xs,True,100.7188,auto,qwen2.5-coder:14b,226,0,0,False,True
rev (rev xs) = xs,False,265.8119,auto,qwen2.5-coder:14b,336,0,0,True,True
length (xs @ ys) = length xs + length ys,True,113.0479,auto,qwen2.5-coder:14b,328,1,0,False,True
rev (xs @ ys) = rev ys @ rev xs,False,114.7688,auto,qwen2.5-coder:14b,336,0,1,False,False
map f (xs @ ys) = map f xs @ map f ys,True,106.7007,auto,qwen2.5-coder:14b,300,1,0,False,True
sum_list (xs @ ys) = sum_list xs + sum_list ys,False,265.0657,auto,qwen2.5-coder:14b,342,0,0,True,True
filter P (xs @ ys) = filter P xs @ filter P ys,False,265.7467,auto,qwen2.5-coder:14b,481,0,0,True,True
