goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
length (xs @ xs) = 2 * length xs,True,11.7108,auto,qwen2.5-coder:14b,50,0,0,False,True
length (map f xs) = length xs,True,16.2442,auto,qwen2.5-coder:14b,47,0,0,False,True
rev (map f xs) = map f (rev xs),True,30.9742,auto,qwen2.5-coder:14b,60,0,0,False,True
filter (\<lambda>x. True) xs = xs,True,15.7369,auto,qwen2.5-coder:14b,51,0,0,False,True
filter (\<lambda>x. False) xs = [],True,16.3041,auto,qwen2.5-coder:14b,52,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,15.6931,auto,qwen2.5-coder:14b,56,0,0,False,True
n + 0 = (n :: nat),True,16.0077,auto,qwen2.5-coder:14b,36,0,0,False,True
0 + n = (n :: nat),True,16.1207,auto,qwen2.5-coder:14b,36,0,0,False,True
Suc n = n + (1 :: nat),True,17.2675,auto,qwen2.5-coder:14b,40,0,0,False,True
(n :: nat) * 0 = 0,True,15.7116,auto,qwen2.5-coder:14b,36,0,0,False,True
length (rev xs) + length (rev ys) = length xs + length ys,True,15.7146,auto,qwen2.5-coder:14b,75,0,0,False,True
sum_list (map f []) = (0 :: nat),True,15.7812,auto,qwen2.5-coder:14b,50,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,15.6402,auto,qwen2.5-coder:14b,63,0,0,False,True
map id xs = xs,True,15.9050,auto,qwen2.5-coder:14b,32,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,16.2722,auto,qwen2.5-coder:14b,65,0,0,False,True
take n xs @ drop n xs = xs,True,15.7110,auto,qwen2.5-coder:14b,44,0,0,False,True
length (take n xs) \<le> length xs,True,15.3413,auto,qwen2.5-coder:14b,52,0,0,False,True
xs @ [] = xs,True,15.2240,auto,qwen2.5-coder:14b,30,0,0,False,True
[] @ xs = xs,True,15.8394,auto,qwen2.5-coder:14b,30,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,16.2224,auto,qwen2.5-coder:14b,64,0,0,False,True
