goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
xs @ [] = xs,True,122.0601,auto,qwen2.5-coder:14b,30,0,0,False,True
take n xs @ drop n xs = xs,True,88.0810,auto,qwen2.5-coder:14b,44,0,0,False,True
sum_list (map f []) = (0 :: nat),False,89.0725,auto,qwen2.5-coder:14b,50,0,0,False,False
[] @ xs = xs,True,89.0805,auto,qwen2.5-coder:14b,30,0,0,False,True
0 + n = (n :: nat),True,89.6940,auto,qwen2.5-coder:14b,36,0,0,False,True
n + 0 = (n :: nat),True,91.0321,auto,qwen2.5-coder:14b,36,0,0,False,True
hd (xs @ [x]) = (if xs = [] then x else hd xs),True,89.9296,auto,qwen2.5-coder:14b,64,0,0,False,True
filter (\<lambda>x. True) xs = xs,False,55.4877,auto,qwen2.5-coder:14b,0,0,0,False,True
map f (map g xs) = map (\<lambda>x. f (g x)) xs,True,81.2565,auto,qwen2.5-coder:14b,65,0,0,False,True
length (xs @ xs) = 2 * length xs,False,40.8954,auto,qwen2.5-coder:14b,0,0,0,False,True
(n :: nat) * 0 = 0,True,82.1512,auto,qwen2.5-coder:14b,36,0,0,False,True
concat (map (\<lambda>x. [x]) xs) = xs,True,89.1266,auto,qwen2.5-coder:14b,56,0,0,False,True
length (take n xs) \<le> length xs,True,88.2289,auto,qwen2.5-coder:14b,52,0,0,False,True
Suc n = n + (1 :: nat),True,90.8304,auto,qwen2.5-coder:14b,40,0,0,False,True
map id xs = xs,False,88.1942,auto,qwen2.5-coder:14b,32,0,0,False,False
rev (map f xs) = map f (rev xs),True,108.7283,auto,qwen2.5-coder:14b,60,0,0,False,True
length (map f xs) = length xs,True,86.4628,auto,qwen2.5-coder:14b,47,0,0,False,True
sum_list (rev xs) = sum_list (xs :: nat list),True,85.7899,auto,qwen2.5-coder:14b,63,0,0,False,True
filter (\<lambda>x. False) xs = [],False,89.7275,auto,qwen2.5-coder:14b,52,0,0,False,False
length (rev xs) + length (rev ys) = length xs + length ys,True,89.2744,auto,qwen2.5-coder:14b,75,0,0,False,True
