goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
True,False,223.5335,auto,qwen2.5-coder:14b,116,0,0,False,False
1 + 1 = (2::nat),True,95.7785,auto,qwen2.5-coder:14b,127,0,0,False,True
"length [1, 2, 3] = 3",True,98.1267,auto,qwen2.5-coder:14b,178,0,0,False,True
length (rev xs) = length xs,True,119.5706,auto,qwen2.5-coder:14b,380,1,0,False,True
rev (rev xs) = xs,True,116.0453,auto,qwen2.5-coder:14b,278,1,0,False,True
length (xs @ ys) = length xs + length ys,True,126.0423,auto,qwen2.5-coder:14b,332,1,0,False,True
rev (xs @ ys) = rev ys @ rev xs,True,106.6585,auto,qwen2.5-coder:14b,266,0,0,False,True
map f (xs @ ys) = map f xs @ map f ys,True,103.3447,auto,qwen2.5-coder:14b,288,0,0,False,True
sum_list (xs @ ys) = sum_list xs + sum_list ys,False,207.2739,auto,qwen2.5-coder:14b,375,0,0,False,False
filter P (xs @ ys) = filter P xs @ filter P ys,True,110.5184,auto,qwen2.5-coder:14b,465,0,0,False,True
