goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
distinct xs \<Longrightarrow> distinct (rev xs),False,5.6461,auto,qwen2.5-coder:14b,0,0,0,False,False
xs \<noteq> [] \<Longrightarrow> hd xs # tl xs = xs,True,118.6047,auto,qwen2.5-coder:14b,69,0,0,False,True
filter P (filter Q xs) = filter (\<lambda>x. P x \<and> Q x) xs,True,97.1484,auto,qwen2.5-coder:14b,97,0,0,False,True
length (filter P xs) \<le> length xs,True,87.5447,auto,qwen2.5-coder:14b,54,0,0,False,True
set (rev xs) = set xs,False,28.1447,auto,qwen2.5-coder:14b,0,0,0,False,False
sum_list (xs @ ys) \<ge> sum_list xs,False,285.4518,auto,qwen2.5-coder:14b,307,0,1,False,False
\<forall>x \<in> set xs. P x \<Longrightarrow> list_all P xs,False,311.1791,auto,qwen2.5-coder:14b,338,0,0,True,True
length xs = length ys \<Longrightarrow> length (zip xs ys) = length xs,False,90.3265,auto,qwen2.5-coder:14b,88,0,0,False,False
foldr (#) xs [] = xs,True,191.3423,auto,qwen2.5-coder:14b,193,0,0,False,True
length (concat xss) = sum_list (map length xss),True,195.3326,auto,qwen2.5-coder:14b,495,0,0,False,True
take (length xs) xs = xs,False,89.3847,auto,qwen2.5-coder:14b,42,0,0,False,False
xs @ ys = zs @ ws \<Longrightarrow> length xs = length zs \<Longrightarrow> xs = zs,True,89.5526,auto,qwen2.5-coder:14b,101,0,0,False,True
sum_list (map (\<lambda>_. (1::nat)) xs) = length xs,False,16.9244,auto,qwen2.5-coder:14b,0,0,0,False,False
distinct xs \<Longrightarrow> length (remdups xs) = length xs,True,89.5471,auto,qwen2.5-coder:14b,79,0,0,False,True
map f (filter P xs) = filter P (map f xs) \<Longrightarrow> (\<forall>x \<in> set xs. P (f x) = P x),False,326.5152,auto,qwen2.5-coder:14b,373,0,0,True,True
