goal,success,elapsed_s,mode,model,outline_chars,fills,failed_holes,had_sorry,verified_ok
distinct xs \<Longrightarrow> distinct (rev xs),True,12.1796,auto,qwen2.5-coder:14b,65,0,0,False,True
xs \<noteq> [] \<Longrightarrow> hd xs # tl xs = xs,True,16.3334,auto,qwen2.5-coder:14b,69,0,0,False,True
filter P (filter Q xs) = filter (\<lambda>x. P x \<and> Q x) xs,True,19.5960,auto,qwen2.5-coder:14b,97,0,0,False,True
length (filter P xs) \<le> length xs,True,16.7172,auto,qwen2.5-coder:14b,54,0,0,False,True
set (rev xs) = set xs,True,15.5998,auto,qwen2.5-coder:14b,39,0,0,False,True
sum_list (xs @ ys) \<ge> sum_list xs,False,292.8312,auto,qwen2.5-coder:14b,519,0,1,False,False
\<forall>x \<in> set xs. P x \<Longrightarrow> list_all P xs,False,2572.9429,auto,qwen2.5-coder:14b,313,0,0,True,True
length xs = length ys \<Longrightarrow> length (zip xs ys) = length xs,True,17.7006,auto,qwen2.5-coder:14b,88,0,0,False,True
foldr (#) xs [] = xs,True,240.3457,auto,qwen2.5-coder:14b,334,0,1,False,True
length (concat xss) = sum_list (map length xss),True,239.2734,auto,qwen2.5-coder:14b,377,0,1,False,True
take (length xs) xs = xs,True,16.7187,auto,qwen2.5-coder:14b,42,0,0,False,True
xs @ ys = zs @ ws \<Longrightarrow> length xs = length zs \<Longrightarrow> xs = zs,True,16.4128,auto,qwen2.5-coder:14b,101,0,0,False,True
sum_list (map (\<lambda>_. (1::nat)) xs) = length xs,False,826.8852,auto,qwen2.5-coder:14b,464,0,0,True,True
distinct xs \<Longrightarrow> length (remdups xs) = length xs,True,19.3711,auto,qwen2.5-coder:14b,79,0,0,False,True
map f (filter P xs) = filter P (map f xs) \<Longrightarrow> (\<forall>x \<in> set xs. P (f x) = P x),False,765.8816,auto,qwen2.5-coder:14b,598,0,0,True,True
